Entity,Code,Year,"Age-standardized deaths from maternal conditions in both sexes in those aged all ages per 100,000 people",1088385-annotations
United States,USA,1950,1.999161,Values from 2003–2017 affected by measurement change
United States,USA,1951,1.9137386,Values from 2003–2017 affected by measurement change
United States,USA,1952,1.7824389,Values from 2003–2017 affected by measurement change
United States,USA,1953,1.6226984,Values from 2003–2017 affected by measurement change
United States,USA,1954,1.4177649,Values from 2003–2017 affected by measurement change
United States,USA,1955,1.2802458,Values from 2003–2017 affected by measurement change
United States,USA,1956,1.1421833,Values from 2003–2017 affected by measurement change
United States,USA,1957,1.1616588,Values from 2003–2017 affected by measurement change
United States,USA,1958,1.0516015,Values from 2003–2017 affected by measurement change
United States,USA,1959,1.0527997,Values from 2003–2017 affected by measurement change
United States,USA,1960,1.0406452,Values from 2003–2017 affected by measurement change
United States,USA,1961,1.0298381,Values from 2003–2017 affected by measurement change
United States,USA,1962,0.95731753,Values from 2003–2017 affected by measurement change
United States,USA,1963,0.93873405,Values from 2003–2017 affected by measurement change
United States,USA,1964,0.8531431,Values from 2003–2017 affected by measurement change
United States,USA,1965,0.74737424,Values from 2003–2017 affected by measurement change
United States,USA,1966,0.65224195,Values from 2003–2017 affected by measurement change
United States,USA,1967,0.59505147,Values from 2003–2017 affected by measurement change
United States,USA,1968,0.51071954,Values from 2003–2017 affected by measurement change
United States,USA,1969,0.46446776,Values from 2003–2017 affected by measurement change
United States,USA,1970,0.45228302,Values from 2003–2017 affected by measurement change
United States,USA,1971,0.36585703,Values from 2003–2017 affected by measurement change
United States,USA,1972,0.32291403,Values from 2003–2017 affected by measurement change
United States,USA,1973,0.2462432,Values from 2003–2017 affected by measurement change
United States,USA,1974,0.2311096,Values from 2003–2017 affected by measurement change
United States,USA,1975,0.19505285,Values from 2003–2017 affected by measurement change
United States,USA,1976,0.18350667,Values from 2003–2017 affected by measurement change
United States,USA,1977,0.17179734,Values from 2003–2017 affected by measurement change
United States,USA,1978,0.14249031,Values from 2003–2017 affected by measurement change
United States,USA,1979,0.14690112,Values from 2003–2017 affected by measurement change
United States,USA,1980,0.14223012,Values from 2003–2017 affected by measurement change
United States,USA,1981,0.1281172,Values from 2003–2017 affected by measurement change
United States,USA,1982,0.11961794,Values from 2003–2017 affected by measurement change
United States,USA,1983,0.11584899,Values from 2003–2017 affected by measurement change
United States,USA,1984,0.11301304,Values from 2003–2017 affected by measurement change
United States,USA,1985,0.11673607,Values from 2003–2017 affected by measurement change
United States,USA,1986,0.1058241,Values from 2003–2017 affected by measurement change
United States,USA,1987,0.09692838,Values from 2003–2017 affected by measurement change
United States,USA,1988,0.12860692,Values from 2003–2017 affected by measurement change
United States,USA,1989,0.12391063,Values from 2003–2017 affected by measurement change
United States,USA,1990,0.13316724,Values from 2003–2017 affected by measurement change
United States,USA,1991,0.125325,Values from 2003–2017 affected by measurement change
United States,USA,1992,0.12397258,Values from 2003–2017 affected by measurement change
United States,USA,1993,0.11600473,Values from 2003–2017 affected by measurement change
United States,USA,1994,0.12974589,Values from 2003–2017 affected by measurement change
United States,USA,1995,0.10755359,Values from 2003–2017 affected by measurement change
United States,USA,1996,0.11256913,Values from 2003–2017 affected by measurement change
United States,USA,1997,0.12886922,Values from 2003–2017 affected by measurement change
United States,USA,1998,0.11002342,Values from 2003–2017 affected by measurement change
United States,USA,1999,0.1574384,Values from 2003–2017 affected by measurement change
United States,USA,2000,0.15088698,Values from 2003–2017 affected by measurement change
United States,USA,2001,0.15671447,Values from 2003–2017 affected by measurement change
United States,USA,2002,0.14048988,Values from 2003–2017 affected by measurement change
United States,USA,2003,0.19789273,Values from 2003–2017 affected by measurement change
United States,USA,2004,0.25138006,Values from 2003–2017 affected by measurement change
United States,USA,2005,0.27491626,Values from 2003–2017 affected by measurement change
United States,USA,2006,0.2733266,Values from 2003–2017 affected by measurement change
United States,USA,2007,0.27687132,Values from 2003–2017 affected by measurement change
United States,USA,2008,0.28913411,Values from 2003–2017 affected by measurement change
United States,USA,2009,0.34737214,Values from 2003–2017 affected by measurement change
United States,USA,2010,0.29696336,Values from 2003–2017 affected by measurement change
United States,USA,2011,0.32805893,Values from 2003–2017 affected by measurement change
United States,USA,2012,0.34193748,Values from 2003–2017 affected by measurement change
United States,USA,2013,0.38528684,Values from 2003–2017 affected by measurement change
United States,USA,2014,0.37925714,Values from 2003–2017 affected by measurement change
United States,USA,2015,0.3798688,Values from 2003–2017 affected by measurement change
United States,USA,2016,0.41153073,Values from 2003–2017 affected by measurement change
United States,USA,2017,0.40235952,Values from 2003–2017 affected by measurement change
United States,USA,2018,0.33267587,Values from 2003–2017 affected by measurement change
United States,USA,2019,0.37210515,Values from 2003–2017 affected by measurement change
United States,USA,2020,0.43216982,Values from 2003–2017 affected by measurement change
United States,USA,2021,0.5611751,Values from 2003–2017 affected by measurement change
United States,USA,2022,0.4171226,Values from 2003–2017 affected by measurement change
